number,cate_type,code,name,description,parent_category
1,Accessory,BK,เหล็กปรับ,,
2,Accessory,CG,"ที่เสียบชาร์จสายไฟ USB,เครื่องเสียง",,
3,Accessory,LG,ขาโซฟา,Sofa legs,
4,Accessory,LGW,ขาไม้,Wooden legs,
5,Accessory,LGP,ขาหลาสติก,Plastic legs,
6,Accessory,SP,"ซิป,คิ้วโฟม",zipper & Foam edge.,
7,Accessory,FU,เฟอร์นิเจอร์สำเร็จรุป,Furniture,
8,Accessory,SC,น็อต ตะปู สกรู,"Nail , Screw",
9,Accessory,SG,"สปริง,ยางยืด","Spring,Elastic",
10,Accessory,SN,หัวหมุด,Pin,
11,Accessory,CD,กระดุม,Studs,
12,Accessory,TK,ตีนตุ๊กแก,Magic tape,
13,Accessory,KL,โครงโซฟา,Sofa frame,
14,Accessory,CUP,หลุมแก้ว,CUP,
15,Accessory,KM,เครื่องมือ,Tool,
16,Accessory,GM,กาว,Glue,
17,Accessory,TL,ระบาย,Tassel,
18,Accessory,PL,พลาสติก&กระสอบ,Plastic bag,
19,Wall Paper,WP,Wall Paper,Wall Paper,
20,Fabric,CP,ผ้าโซฟา,Sofa Fabric,
21,Fabric,CPP,ผ้าสปันบอนด์,Sapunbond Fabric,
22,Fabric,"CPPA,B,C",ผ้าม่าน,Curtain,
23,Fabric,CPZ,ผ้าสั่งทำ,Fabric Made to order,
24,Leather,PV,หนัง,Leather,
25,Leather,CPV,หนังกลับ,Suede,
26,Leather,PA,หนังไมโครไฟเบอร์,Microfiber leather,
27,Leather,ZZ,สินค้าทั่วไป,General,
28,Wood,WD,ไม้สำเร็จรูป,Wooden ,
